,cast,crew,id
10,"Michael Douglas,Annette Bening,Michael J. Fox,Martin Sheen,Anna Deavere Smith,Shawna Waldron,Samantha Mathis,David Paymer,Richard Dreyfuss,Nina Siemaszko,Wendie Malick,Beau Billingslea,Gail Strickland,Joshua Malina,Clement von Franckenstein,John Mahoney,John Mahon,Gabriel Jarret","John Seale,Rob Reiner,Rob Reiner,Robert Leighton,Marc Shaiman,Aaron Sorkin",9087
11,"Leslie Nielsen,Mel Brooks,Amy Yasbeck,Peter MacNicol,Lysette Anthony,Harvey Korman,Steven Weber,Mark Blankfield,Megan Cavanagh,Gregg Binkley,Anne Bancroft","Adam Weiss,Mel Brooks,Mel Brooks,Mel Brooks,Hummie Mann,Peter Schindler,Rudy De Luca,Steve Haberman",12110
12,"Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Phil Collins,Juliette Brewer,Jack Angel,Danny Mann,Robbie Rist,Sandra Dickinson,Frank Welker,Miriam Margolyes,Lola Bates-Campbell","Steven Spielberg,Kathleen Kennedy,Roger S.H. Schulman,Simon Wells,Elana Lesser,Cliff Ruby,David Steven Cohen,Stephan Franck,Jean-Francois Rey,Mick De Falco,Jos챕 Antonio Garc챠a Villameriel,Luc Desmarchelier,Leonard F.W. Green,Harald Kraut",21032
13,"Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins,E.G. Marshall,David Paymer,David Hyde Pierce,Paul Sorvino,Mary Steenburgen,J.T. Walsh,James Woods,Brian Bedford,Kevin Dunn,Fyvush Finkel,Annabeth Gish,Larry Hagman,Madeline Kahn,Dan Hedaya,Bridgette Wilson,Tom Bower,Tony Goldwyn,Edward Herrmann,Tony Lo Bianco,Saul Rubinek,Robert Beltran,John Cunningham,John Diehl,John C. McGinley,Michael Chiklis,Ric Young,Boris Sichkin,Sam Waterston,Marley Shelton","Oliver Stone,Oliver Stone,Dan Halsted,John Williams,Stephen J. Rivele,Robert Richardson,Brian Berdan,Oliver Stone",10858
14,"Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Jimmie F. Skaggs,Harris Yulin,Carl Chase,Peter Geeves,Angus Wright,Ken Bones,Mary Peach,Thomas Lockyer,Roger Booth,George Murcell,Simon Atherton,Dickey Beer,Christopher Halliday,Chris Johnston,Richard Leaf,Tam White,Rupert Vansittart,Nick Bartlett,David Bailie,Kwame Kwei-Armah,Ramon Tikaram,Christopher Adamson","Peter Levy,Maggie Gray,Norman Garwood,Mario Kassar,Joel B. Michaels,Mindy Marin,Laurence Mark,Enrico Sabbatini,Renny Harlin,Renny Harlin,James Gorman,James Gorman,Michael Frost Beckner,Marc Norman,Robert King,Allen Hall",1408
15,"Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,Pasquale Cajano,L.Q. Jones,Dick Smothers,Frank Vincent,Oscar Goodman,Richard Riehle,Catherine Scorsese,Vinny Vella,Nobu Matsuhisa,Erika von Tagen,Nick Mazzola,David Rose,John Bloom,Joseph Rigano,Philip Suriano,Melissa Prophet,Bill Allison,Joe La Due,Joseph P. Reidy,Craig Vincent,Carl Ciarfalio,Gene Ruffini,Dominick Grieco,Clem Caserta,Daniel P. Conte,Joey DePinto,Jack Orend,Paul Herman,Jed Mills,Claudia Haro,Ffolliott Le Coque,John Manca,Ronald Maccone,Joseph Bono,Frank Adonis,Anthony Russell,Stuart Nisbet,Alfred Nittoli","Martin Scorsese,Barbara De Fina,Robert Richardson,Thelma Schoonmaker,Ellen Lewis,Dante Ferretti,Martin Scorsese,Nicholas Pileggi,Nicholas Pileggi,Joseph P. Reidy",524
16,"Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman,Imogen Stubbs,Greg Wise,Hugh Laurie,Imelda Staunton,Robert Hardy,Oliver Ford Davies,James Fleet,Harriet Walter,Gemma Jones,Emilie Fran챌ois,Elizabeth Spriggs,Richard Lumsden","Ang Lee,Jane Austen,Emma Thompson,Lindsay Doran,Sydney Pollack,Patrick Doyle,Michael Coulter,Laurie Borg",4584
17,"Tim Roth,Antonio Banderas,Jennifer Beals,Madonna,Marisa Tomei,Bruce Willis,Quentin Tarantino,Sammi Davis,Amanda de Cadenet,Valeria Golino,Lili Taylor,Lawrence Bender,Ione Skye,Alicia Witt,David Proval,Lana McKissack,Tamlyn Tomita,Kathy Griffin,Paul Calderon,Salma Hayek,Patricia Vonne,Danny Verduzco,Kimberly Blair,Marc Lawrence","Combustible Edison,Gary Frutkoff,Lance Brown,Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino,Lawrence Bender,Quentin Tarantino,Alexandre Rockwell,Russell Gray,Mayne Berke,Sara Andrews,Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino,Rodrigo Garc챠a,Guillermo Navarro,Phil Parmet,Andrzej Sekula,Margaret Goodspeed,Elena Maganini,Sally Menke,Robert Rodriguez,David Gertz,Paul Hellerman,Scott Lambert,Heidi Vogel,Karyn Rachtman,Susan L. Bertram,Mary Claire Hannan,Marisol Jim챕nez,Brian Markey,Ray Maxwell,Marc Gillson,Carlos A. Chavez,T.D. Donnelly,Ziad Doueiri,Rick Stribling,Elizabeth Bolden,Jonathan Brown,Jacqueline Aronson,Thomas G. Marquez,Orlando,Ermahn Ospina,Paul Starr,James C. Beeson,Sissy Boyd,Derek Hurd,Darrell Dubovsky,Ben Parker,Lynda Reiss,Nick Roberts,Patrice Carbaugh,Ben Parker,Paul Taglianetti,Michael Boyce Harris,Dotti Thompson,P. Gerald Knight,Debbie Hayn-Cass,Nancy Willen,Douglas Aarniokoski,Fernando Altschul,Jayne-Ann Tenggren,Mike Stanwick,Bob Allen,Erik C. Andersen,Edgar Arellano,Marcel DeJure,Chuck Smith,Randi Hiller,Robert Earl Craft,Deborah Hebert,Dawn Todd Curfman,Paul Hellerman,Debbie Hayn-Cass,Paul Koronkiewicz,Tim Tuchrello,Denise Okimoto,Pawel Wdowczak,Jay Nierenberg,Glenn Hoskinson,Bruce Fortune,Victor Iorillo,Jan D. Tys,Chuck Jones",5
18,"Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny D. Daniels,Sam Motoana Phillips,Damon Standifer,Andrew Steel,Bruce Spence,Tom Grunke","Steve Oedekerk,Jack Bernstein,Steve Oedekerk,Gary Barber,Bob Israel,Andrew G. La Marca,James G. Robinson,Robert Folk,Donald E. Thorin,Malcolm Campbell,J.J. Makaro",9273
19,"Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Aida Turturro,Vincent Pastore,Enrico Colantoni,Bill Nunn,Katie Gill,Jeremy Roberts,Joe Bacino","Joseph Ruben,Doug Richardson,Neil Canton,Tracy Barone,Adam Fields,Jon Peters,Frederick S. Pierce,John Lindley,George Bowers,Bill Pankow,Michael Dilbeck,Linda R. Chen,Bill Groom,Francine Maisler,Ruth E. Carter,Beth A. Rubino,Sarah Knowles,Dennis Bradford,Mark Mancina,Corey B. Yugler,David Lee,Stan Bochner,Timothy M. Bourne,Laini Thompson,Margot Boccia,Clifford Booker,Melissa A. Yonkey,Jack Gill,Michael Stone,Michael Stone,Lawrence Karman,Geary McLeod,Shannon Rayle Bourne,Doug Claybourne,Michael E. Steele,Russ Kavanaugh,Lee Dichter,Dominick Tavella,Tony Martinez,Ira Spiegel,Paul P. Soucek,Richard King,Pam DeMetruis-Thomas,Mike Fenster",11517
20,"John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries,Renee Props,David Paymer,Martin Ferrero,Miguel Sandoval,Jacob Vargas,Bobby Slayton,Linda Hart,Jeffrey J. Stephen","Barry Sonnenfeld,Elmore Leonard,Danny DeVito,Michael Shamberg,Stacey Sher,John Lurie,Donald Peterman,Peter S. Larkin,Scott Frank,Karyn Rachtman,Betsy Heimann,David Rubin,Debra Zane,Steve Arnold,Leslie E. Rollins,Robby Green,Jim Ondrejko,Sabrina Rosen,David Rawley,Lori Stilson,Eliza Paley,Suzanne Pillsbury,Audrey Futterman-Stern,Ron Scott,Ellen Wong,Natalie Wood",8012
21,"Sigourney Weaver,Holly Hunter,Will Patton,William McNamara,Harry Connick Jr.,J.E. Freeman,Dermot Mulroney,John Rothman,Bob Greene,Tony Haney,Danny Kovacs,Tahmus Rounds,Scott Devenney,David Michael Silverman","Mark Tarlov,Jon Amiel,Alan Heim,Jim Clark,Arnon Milchan,David Madsen,Arnon Milchan,Mark Tarlov,Christopher Young,Ann Biderman,L찼szl처 Kov찼cs,Joseph M. Caracciolo Jr.,Kerry Barden,Billy Hopkins,Suzanne Smith,Jim Clay,Chris Seagers,Catherine Davis,Claudia Brown,H. Bud Otto,Chris Newman",1710
22,"Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Steve Kahan,Kelly Rowan,Reed Diamond,Kai Wulff,Kerry Skalsky,James Douglas Haskins,Stephen Liska,John Harms,Edward J. Rosen,Christina Orchid,Choco Orta,Germ찼n Legarreta","Richard Donner,Lilly Wachowski,Lana Wachowski,Mark Mancina,Vilmos Zsigmond,Lawrence Jordan,Richard Marks,Richard Donner,Bruce A. Evans,Raynold Gideon,Andrew Lazar,Lauren Shuler Donner,Joel Silver,Jim Van Wyck,Dino De Laurentiis,Marshall Winn,Marion Dougherty,Steve Arnold,Nathan Crowley,Leticia Stella,Thomas E. Sanders,Lisa Dean,Elizabeth McBride,Cha Blevins,Daniel T. Dorrance,Scott Eddo,Deborah K. Larsen,Charlene Johnson,John M. Woodward,Wendy Skerritt,Erik L. Nelson,Chad Griffin,Noelle King,Alan Manzer,Gilbert Wong,Steven Curtis Husch,Michael McCombe,Virginia Cook-McGowan,Catherine Flynn,John F. Reynolds,Robert G. Henderson,Peggy McAffee,Kevin Bartnof,Catherine Rowe,Rick Alexander,David E. Campbell,Kevin E. Carpenter,Les Fresholtz,Jeffrey J. Haboush,John T. Reitz,Gregg Rudloff,Greg P. Russell,Dick Hancock,Andrew Cooper,Ray De La Motte,Neal Norton,Frank M. Holgate,Robin Buerki,Ian Jennings,David R. Kohn,Raul J. Marin,Eva Prappas,Sally Roberts,Joy Ellison,Patricia Fay,Peter J. Silbermann,Lilly Wachowski,Lana Wachowski,Brian Helgeland,Rafael P챕rez,Paloma Suau",9691
23,"Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith","Victor Salva,Victor Salva,Roger Birnbaum,Riley Kathryn Ellis,Daniel Grodnik,Robert Snukal,Jerry Goldsmith,Jerzy Zielinski,Dennis M. Hill",12665
24,"Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter,Stuart Reynolds ,Valeria Golino,Graham Beckel,Mariska Hargitay,Laurie Metcalf,Shawnee Smith,David Kriegel","Stuart Reynolds ,Mike Figgis,Mike Figgis,Mike Figgis,Lila Caz챔s,Marc S. Fischer,Paige Simpson,Annie Stewart,Declan Quinn,John Smith,Carrie Frazier",451
25,"Laurence Fishburne,Ir챔ne Jacob,Kenneth Branagh,Nathaniel Parker,Indra Ov챕,Michael Maloney,Anna Patrick,Nicholas Farrell,Michael Sheen","William Shakespeare,Oliver Parker,Oliver Parker",16420
26,"Christina Ricci,Thora Birch,Melanie Griffith,Gaby Hoffmann,Demi Moore,Ashleigh Aston Moore,Rita Wilson,Walter Sparrow,Devon Sawa,Cloris Leachman,Janeane Garofalo,Hank Azaria,Bonnie Hunt,Lolita Davidovich,Brendan Fraser","Lesli Linka Glatter,I. Marlene King,Demi Moore,Jennifer Todd,Suzanne Todd,Cliff Eidelman,Ueli Steiger,Jacqueline Cambas",9263
27,"Amanda Root,Ciar찼n Hinds,Susan Fleetwood,Fiona Shaw,John Woodvine,Phoebe Nicholls,Samuel West,Sophie Thompson,Judy Cornwell,Simon Russell Beale,Felicity Dean,Roger Hammond,Victoria Hamilton,Corin Redgrave,Emma Roberts,Robert Glenister,Richard McCabe,Helen Schlesinger,Jane Wood,David Collings,Darlene Johnson,Cinnamon Faye,Isaac Maxwell-Hunt,Roger Llewellyn,Sally George,Lonnie James","Roger Michell,Alexandra Byrne,Jane Austen,Kate Evans,John Daly,Nick Dear,Helen Caldwell,Jan Pester,Jeremy Sams,William Dudley,Catherine Wearing,Kay Bilk,Fiona Finlay,Colin Gorry,Linda Ward,Joanna Casserly,Sally Collins,Jean Speak,Graham Bishop,Chris Capstick,Stephen Foote,Geraldine Stephenson",17015
28,"Ron Perlman,Dominique Pinon,Judith Vittet,Daniel Emilfork,Jean-Claude Dreyfus,Genevi챔ve Brunet,Odile Mallet,Mireille Moss챕,Serge Merlin,Rufus,Ticky Holgado,Cris Huerta,Jean-Louis Trintignant,Joseph Lucien,Mapi Gal찼n,Briac Barth챕l챕my,Pierre-Quentin Faesch,Alexis Pivot,Fran챌ois Hadji-Lazaro,Dominique Bettenfeld,Lotfi Yahya Jedidi,Thierry Gibault,Marc Caro,Ham-Chau Luong,Frankie Pain,Enrique Villanueva,Dominique Chevalier,Lorella Cravotta,횋ric Houzelot,Philippe Beautier,Marc Amyot,Jean-Philippe Labadie,Rapha챔le Bouchard,Elisabeth Etienne,Rachel Boulenger,Michel Motu,Nane Germon","Jean-Pierre Jeunet,Jean-Pierre Jeunet,F챕licie Dutertre,Mar챠a Victoria Hebrero,Jos챕 Luis Lopez,Arlette Mas,Claudie Ossard,Fran챌ois Rabes,Angelo Badalamenti,Darius Khondji,Herv챕 Schneid,Pierre-Jacques B챕nichou,Jean Rabasse,Aline Bonetto,Jean Paul Gaultier,Georges Mougine,Denis Ozenne,Marc Caro,Marc Caro,Marc Caro,Gilles Adrien",902
29,"Gong Li,Li Bao-Tian,Wang Xiaoxiao,Li Xuejian,Chun Sung,Fu Biao","Zhang Yimou,L체 Yue,Bi Feiyu,Li Xiao",37557
30,"Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,John Neville,Beatrice Winde,Lorraine Toussaint,Renoly Santiago,Wade Dominguez,Bruklin Harris,Mercello Thedford,Roberto Alvarez,Richard Grant,Marisela Gonzales,Toni Nichelle Buzhardt","Jerry Bruckheimer,Bonnie Timmermann,Don Simpson,Tom Rolf,Bob Badami,Ronald Bass,Marietta Carter-Narcisse,Lucas Foster,Sandra Rabins,Nancy Patton,Donald Graham Burt,Kate Guinzburg,Robert L. Stevenson,Catherine Mann,Bobbie Read,Pierre Letarte,John N. Smith,LouAnne Johnson,Wendy Melvoin,Lisa Coleman,Bruce Di Valerio,June Samson,Darrell Pritchett,Gala Autumn,Michele Tedlis,Kathy Nelson",9909
